Cluster,N_Components,BIC,AIC,Log_Likelihood
29,1,-251.00965278742422,-211.11878626021712,170.55939313010856
29,2,-228.3664407025628,-147.9710020092685,204.98550100463424
29,3,-180.10087988349147,-59.20086902410992,226.60043451205496
29,4,-103.4195677987068,57.98501522676196,234.00749238661902
31,1,-287.67564010896496,-247.78477358175786,188.89238679087893
31,2,-238.7993829874446,-158.40394429415028,210.20197214707514
31,3,-181.92187785707097,-61.021866997689415,227.5109334988447
31,4,-103.4195677987068,57.98501522676196,234.00749238661902
34,1,-165.66217645878652,-80.71674319518297,105.35837159759149
34,2,-145.97780045550593,25.21991889114122,118.39004055442939
35,1,-366.8950257229594,-372.0587259321487,251.02936296607436
35,2,-461.30524521019015,-471.71208717024865,366.8560435851243
35,3,-376.2248041013973,-391.87478781232494,392.93739390616247
35,4,-306.7976135987134,-327.69073906051017,426.8453695302551
36,1,-208.9663020680959,-150.37610083152305,140.18805041576152
36,2,-190.56713769771417,-72.48534751323655,167.24267375661827
36,3,-136.31071014702158,41.26266898536079,176.3686655073196
37,1,-224.61008718217863,-184.71922065497154,157.35961032748577
37,2,-215.40266090068158,-135.00722220738726,198.50361110369363
37,3,-173.9966420713348,-53.09663121195325,223.54831560597663
37,4,-103.4195677987068,57.98501522676196,234.00749238661902
38,1,-199.54808143280843,-140.95788019623558,135.4789400981178
38,2,-182.04611480431564,-63.96432461983801,162.982162309919
38,3,-136.31071014702158,41.26266898536079,176.3686655073196
39,1,-255.87876316955425,-215.98789664234715,172.99394832117358
39,2,-235.16269784029927,-154.76725914700495,208.38362957350247
39,3,-176.0149532813881,-55.11494242200655,224.55747121100327
39,4,-103.4195677987068,57.98501522676196,234.00749238661902
41,1,-178.73239659691376,-93.78696333331021,111.8934816666551
41,2,-145.97780045550593,25.21991889114122,118.39004055442939
42,1,-163.21472219098712,-78.26928892738357,104.13464446369179
42,2,-145.97780045550593,25.21991889114122,118.39004055442939
43,1,-233.70937519731012,-208.32283950552664,169.16141975276332
43,2,-273.23055563570614,-222.06692216457327,242.03346108228664
43,3,-215.73678935261444,-138.79605810213218,266.3980290510661
43,4,-135.43012281934983,-32.712293789518185,279.3561468947591
44,1,-208.45910610094836,-149.8689048643755,139.93445243218775
44,2,-187.4570241456871,-69.37523396120946,165.68761698060473
44,3,-136.31071014702158,41.26266898536079,176.3686655073196
45,1,-166.8540007248455,-81.90856746124194,105.95428373062097
45,2,-145.97780045550593,25.21991889114122,118.39004055442939
46,1,-352.350872692444,-326.9643370006605,228.48216850033026
46,2,-311.3138078130991,-260.15017434196625,261.0750871709831
46,3,-235.7137016210561,-158.77297037057383,276.3864851852869
46,4,-144.86487302672305,-42.1470439968914,284.0735219984457
47,1,-237.33605364342895,-197.44518711622186,163.72259355811093
47,2,-226.5482039245356,-146.1527652312413,204.07638261562064
47,3,-176.9953367197573,-56.09532586037574,225.04766293018787
47,4,-103.4195677987068,57.98501522676196,234.00749238661902
49,1,-519.78082627143,-524.9445264806193,327.47226324030964
49,2,-507.2926793727073,-517.6995213327658,389.8497606663829
49,3,-431.1641433406981,-446.81412705162575,420.4070635258129
49,4,-324.54379761843563,-345.4369230802324,435.7184615401162
50,1,-197.7347932035825,-139.14459196700966,134.57229598350483
50,2,-181.00238541385093,-62.920595229373305,162.46029761468665
50,3,-136.31071014702158,41.26266898536079,176.3686655073196
51,1,-292.6339839987069,-252.74311747149983,191.37155873574991
51,2,-255.67533557328161,-175.2798968799873,218.63994843999365
51,3,-181.92187785707102,-61.02186699768947,227.51093349884474
51,4,-103.4195677987068,57.98501522676196,234.00749238661902
53,1,-312.8056464858512,-317.9693466950405,223.98467334752024
53,2,-305.3766120120048,-315.7834539720633,288.89172698603164
53,3,-332.3168868692009,-347.96687058012856,370.9834352900643
53,4,-264.6135223966854,-285.5066478584822,405.7533239292411
57,1,-169.76192047530043,-84.81648721169688,107.40824360584844
57,2,-145.97780045550593,25.21991889114122,118.39004055442939
58,1,-201.70805919232177,-188.17242469214534,159.08621234607267
58,2,-217.77137092747432,-190.49186139634952,226.24593069817476
58,3,-244.8056937261016,-203.78230916402845,298.8911545820142
58,4,-153.16190036058174,-98.39464076756019,312.1973203837801
59,1,-308.01867649996257,-339.5376087361826,234.7688043680913
59,2,-545.5444541443937,-609.0672252666218,435.5336126333109
59,3,-560.5925896683757,-656.1191996766117,525.0595998383059
59,4,-488.436741051524,-615.967189945768,570.983594972884
