Model,macro_f1,macro_auc,weighted_auc,exact_match_accuracy
ESM Init Last + BiLSTM,0.7026569123857068,0.9127510490331588,0.9388131640308428,0.7040155440414507
ESM Init Embedder + BiLSTM,0.6554869234512887,0.8873094779139252,0.9167261322855821,0.6709844559585493
Random Init Last + BiLSTM,0.7096483808432579,0.9232609816523121,0.9424021624349099,0.7053108808290155
Random Init Embedder + BiLSTM,0.7219184057419135,0.9196443079994034,0.9412024924062309,0.7072538860103627
ESM Embeddings + BiLSTM,0.6879414863256182,0.8955333503792279,0.9224056045024093,0.6973428386260532
ESM + BigCarp Concatenated + BiLSTM,0.7179910845673936,0.907523091966202,0.9369598580091704,0.7141931302657162
Pfam2vec + Random Forest,0.5932818445862255,0.9139705789949997,0.9338480895185267,0.6113989637305699
Random 256D Baseline,0.1671996603003576,0.49338675852146585,0.4842570120103729,0.125
