Model,accuracy,accuracy_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std
BigCarp Random - MEAN,0.39782620931881885,0.023839889438020335,0.19741117849631368,0.011131268210270794,0.33594299289898116,0.01760461073588277
BigCarp Random - CLS,0.1920444439441186,0.04145070056664736,0.13177388509109722,0.03209965303895041,0.16424565012940537,0.0688825775747995
BigCarp ESM1b - MEAN,0.3888090869178552,0.006300428354529307,0.1863362173545723,0.013878223864746915,0.321052765070033,0.018176327803031828
BigCarp ESM1b - CLS,0.2213427744818813,0.12247274543754502,0.0901595244892625,0.05160690711154506,0.15435236252770174,0.088184443215849
