Model,macro_f1,macro_auc,weighted_auc,exact_match_accuracy
ESM Init Last + BiLSTM,0.7165011143120015,0.9011820882845266,0.9426008655094656,0.7401612138454243
ESM Init Embedder + BiLSTM,0.7043523964028475,0.8876819308993191,0.9330194076207999,0.7354196301564723
Random Init Last + BiLSTM,0.7067203232003142,0.9020363359623708,0.9388574757367061,0.7425320056899004
Random Init Embedder + BiLSTM,0.7190222911874542,0.9084066364402756,0.946746086558711,0.7539118065433855
ESM Embeddings + BiLSTM,0.7003390593917701,0.9001464842340591,0.936182541298237,0.7363679468942627
ESM + BigCarp Concatenated + BiLSTM,0.7211872614302463,0.9107777884064652,0.9451753396707983,0.7543859649122807
Pfam2vec + Random Forest,0.6304614223458532,0.9079197610539209,0.9399112545329621,0.6287339971550497
Random 256D Baseline,0.161930784382214,0.5050945318390203,0.4999734715971102,0.14604077761972498
